"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","D-01826","NoB0145",2024,"NorthBank",43.328105,-123.2072967,"f","30","6","170","170","175","179","149","149","137","137","183","195",NA,NA,"231","243"
"2","D-01827","NoB0146",2024,"NorthBank",43.328105,-123.2072967,"f","31","6","170","170","175","179","149","149","137","137","183","195","191","191",NA,NA
"3","D-01828","NoB0147",2024,"NorthBank",43.3281067,-123.2073938,"f","1","6","170","170","171","175","141","149","129","129","199","199",NA,NA,"239","243"
"4","D-02128","NoB0149",2024,"NorthBank",43.342705,-123.2104733,"f","32","7","146","154","167","175","149","149","113","129","191","191","191","191","243","243"
"5","D-01830","NoB0150",2024,"NorthBank",43.3281233,-123.2074683,"f","33","6","170","170","171","179","141","149","125","125","191","195",NA,NA,"227","231"
"6","D-02129","NoB0151",2024,"NorthBank",43.3426374,-123.2104074,"f","34","7","142","170","175","175","141","141","125","125","183","195","191","191","223","243"
"7","D-01831","NoB0152",2024,"NorthBank",43.3281083,-123.2075167,"f","1","6","170","170","171","175","141","149","129","129","199","199",NA,NA,"239","243"
"8","D-02130","NoB0153",2024,"NorthBank",43.34263,-123.2104,"m","2","6","142","154","175","179","149","149","133","133","191","191",NA,NA,"227","235"
"9","D-01832","NoB0154",2024,"NorthBank",43.3281067,-123.2075717,"f","35","6","170","170","171","175","141","149","129","129","199","199",NA,NA,"239","243"
"10","D-01833","NoB0157",2024,"NorthBank",43.3281417,-123.207585,"f","36","5","170","170","175","175","149","149","133","137",NA,NA,NA,NA,"231","243"
"11","D-01834","NoB0158",2024,"NorthBank",43.3281567,-123.2075467,"m","37","7","170","170","163","171","141","141","133","137","195","199","203","203","223","243"
"12","D-02134","NoB0160",2024,"NorthBank",43.3429805,-123.2104275,"f","38","5","154","170","179","179","141","141","133","133",NA,NA,"191","191",NA,NA
"13","D-01835","NoB0161",2024,"NorthBank",43.328097,-123.2076392,"f","4","7","170","170","175","179","149","149","133","137","183","195","191","203","231","243"
"14","D-02135","NoB0162",2024,"NorthBank",43.3430351,-123.2104064,"m","5","6","154","170","171","175","149","149","133","141","183","191","203","203",NA,NA
"15","D-01836","NoB0163",2024,"NorthBank",43.328185,-123.2077017,"f","39","6","170","170","171","179","141","149","125","137","191","195",NA,NA,"227","231"
"16","D-01837","NoB0165",2024,"NorthBank",43.3284205,-123.2079513,"f","1","6","170","170","171","175","141","149","129","129","199","199",NA,NA,"239","243"
"17","D-02138","NoB0167",2024,"NorthBank",43.3429952,-123.2103989,"f","40","5","170","170","167","179","141","149","125","133","195","195",NA,NA,NA,NA
"18","D-01839","NoB0170",2024,"NorthBank",43.32844,-123.2080933,"f","6","6","170","170","171","175","141","149","129","137","199","199",NA,NA,"239","243"
"19","D-02140","NoB0171",2024,"NorthBank",43.3431331,-123.2104138,"m","5","7","154","170","171","175","149","149","133","141","183","191","203","203","227","231"
"20","D-01840","NoB0172",2024,"NorthBank",43.3285227,-123.2088393,"f","42","5","170","170","175","179","149","149","133","137","183","195",NA,NA,NA,NA
"21","D-01841","NoB0173",2024,"NorthBank",43.3284856,-123.2087834,"f","4","7","170","170","175","179","149","149","133","137","183","195","191","203","231","243"
"22","D-01842","NoB0174",2024,"NorthBank",43.328488,-123.2090487,"f","43","6","170","170","159","179","141","149","125","129","191","195",NA,NA,"243","243"
"23","D-01843","NoB0175",2024,"NorthBank",43.3285142,-123.2090639,"f","6","6","170","170","171","175","141","149","129","137","199","199",NA,NA,"239","243"
"24","D-01845","NoB0177",2024,"NorthBank",43.3288533,-123.2100733,"f","44","5","170","170","179","179","149","149","133","137","195","195",NA,NA,NA,NA
"25","D-01850","NoB0182",2024,"NorthBank",43.3295767,-123.213195,"m","7","7","154","170","175","179","141","149","113","133","191","195","203","207","231","231"
"26","D-01852","NoB0184",2024,"NorthBank",43.3296917,-123.21405,"m","7","7","154","170","175","179","141","149","113","133","191","195","203","207","231","231"
"27","D-01853","NoB0185",2024,"NorthBank",43.3297217,-123.2141083,"f","8","7","154","154","159","167","141","141","133","133","191","195","203","203","231","243"
"28","D-02141","NoB0186",2024,"NorthBank",43.3485078,-123.2097735,"m","45","6","154","170","175","175","141","149","133","133","191","195","203","203",NA,NA
"29","D-02142","NoB0187",2024,"NorthBank",43.3484599,-123.2098701,"m","46","6","154","170","159","175","141","149","113","113","183","191","203","203",NA,NA
"30","D-02143","NoB0188",2024,"NorthBank",43.347078,-123.2138933,"f","47","6","170","170","159","175","141","141","133","133","191","195","203","203",NA,NA
"31","D-01854","NoB0189",2024,"NorthBank",43.3299033,-123.21437,"m","48","7","146","154","159","175","141","141","113","125","183","191","203","203","231","243"
"32","D-01855","NoB0190",2024,"NorthBank",43.3300154,-123.2147295,"f","49","7","154","170","171","179","141","149","133","137","183","191","203","203","227","227"
"33","D-01856","NoB0191",2024,"NorthBank",43.3299883,-123.2147267,"m","50","5","154","170","179","179","141","149","129","129","191","195",NA,NA,NA,NA
"34","D-01857","NoB0192",2024,"NorthBank",43.3299883,-123.2147267,"f","51","5","154","170","159","179","141","141","129","129","183","191",NA,NA,NA,NA
"35","D-01858","NoB0193",2024,"NorthBank",43.3299745,-123.214754,"f","52","7","154","170","175","179","149","149","133","137","191","195","191","203","243","243"
"36","D-01859","NoB0194",2024,"NorthBank",43.3300102,-123.2148084,"f","9","7","154","170","179","179","141","141","129","129","191","191","203","203","227","227"
"37","D-02144","NoB0195",2024,"NorthBank",43.3449761,-123.2156661,"f","53","5",NA,NA,"179","179","141","149","137","137","195","195",NA,NA,"219","219"
"38","D-02145","NoB0196",2024,"NorthBank",43.3452467,-123.2156683,"f","54","7","146","170","179","191","141","149","137","137","195","195","203","207","219","227"
"39","D-01860","NoB0197",2024,"NorthBank",43.329921,-123.2149385,"f","55","5","142","170","175","179","141","149","129","129","191","191",NA,NA,NA,NA
"40","D-01861","NoB0198",2024,"NorthBank",43.3298896,-123.2148472,"f","9","7","154","170","179","179","141","141","129","129","191","191","203","203","227","227"
"41","D-01862","NoB0200",2024,"NorthBank",43.3299017,-123.2149317,"f","9","7","154","170","179","179","141","141","129","129","191","191","203","203","227","227"
"42","D-01863","NoB0201",2024,"NorthBank",43.329895,-123.21495,"f","10","6","154","154","159","163","141","149","133","133","195","195",NA,NA,"231","233"
"43","D-02147","NoB0202",2024,"NorthBank",43.3448283,-123.21499,"f","56","7","170","170","159","171","141","149","133","137","191","195","183","191","231","243"
"44","D-01864","NoB0203",2024,"NorthBank",43.32994,-123.2149683,"f","8","7","154","154","159","167","141","141","133","133","191","195","203","203","231","243"
"45","D-01865","NoB0204",2024,"NorthBank",43.3300633,-123.2154433,"f","57","7","154","170","159","179","141","141","129","129","183","191","203","203","227","227"
"46","D-02148","NoB0205",2024,"NorthBank",43.3437555,-123.213576,"f","58","7","170","170","171","179","141","149","125","125","191","191","203","207","235","243"
"47","D-01867","NoB0207",2024,"NorthBank",43.3302713,-123.2190841,"m","59","7","154","170","163","179","141","149","129","129","191","199","191","191","243","243"
"48","D-01868","NoB0208",2024,"NorthBank",43.3302917,-123.2193133,"f","11","6","154","170","159","159","141","149","131","133","191","195","203","203",NA,NA
"49","D-01869","NoB0209",2024,"NorthBank",43.33031,-123.2193317,"f","60","7","154","170","159","159","141","141","131","133","191","195","195","203","227","227"
"50","D-01870","NoB0210",2024,"NorthBank",43.3305016,-123.2197634,"m","12","7","154","170","175","179","141","149","137","137","195","199","207","207","227","243"
"51","D-01871","NoB0211",2024,"NorthBank",43.3306977,-123.2196663,"m","12","6","154","170","175","179","141","149",NA,NA,"195","199","207","207","227","243"
"52","D-02149","NoB0212",2024,"NorthBank",43.34273,-123.21163,"m","2","6","142","154","175","179","149","149","133","133","191","191",NA,NA,"227","235"
"53","D-01872","NoB0213",2024,"NorthBank",43.3307617,-123.2196867,"m","12","7","154","170","175","179","141","149","137","137","195","199","207","207","227","243"
"54","D-01873","NoB0214",2024,"NorthBank",43.3308,-123.2197717,"f","61","7","142","146","163","167","141","149","113","125","191","191","203","203","227","243"
"55","D-02150","NoB0215",2024,"NorthBank",43.3427433,-123.2115367,"m","5","7","154","170","171","175","149","149","133","141","183","191","203","203","227","231"
"56","D-01874","NoB0216",2024,"NorthBank",43.3307817,-123.21989,"f","13","7","154","170","163","175","141","149","125","125","191","195","191","203","231","231"
"57","D-01875","NoB0217",2024,"NorthBank",43.3312433,-123.2198583,"f","11","7","154","170","159","159","141","149","131","133","191","195","203","203","227","243"
"58","D-01876","NoB0218",2024,"NorthBank",43.3311217,-123.2198983,"m","62","7","146","154","159","163","141","141","125","125","183","195","191","203","231","231"
"59","D-01877","NoB0219",2024,"NorthBank",43.3311387,-123.219881,"m","10","6","154","154","159","163","141","149","133","133","195","195",NA,NA,"231","233"
"60","D-01878","NoB0220",2024,"NorthBank",43.3310833,-123.219835,"m","12","7","154","170","175","179","141","149","137","137","195","199","207","207","227","243"
"61","D-01879","NoB0221",2024,"NorthBank",43.3312186,-123.2198651,"f","13","7","154","170","163","175","141","149","125","125","191","195","191","203","231","231"
"62","D-01880","NoB0222",2024,"NorthBank",43.3318757,-123.2196399,"f","10","6","154","154","159","163","141","149","133","133","195","195",NA,NA,"231","233"
"63","D-01881","NoB0223",2024,"NorthBank",43.3319067,-123.2195983,"f","8","7","154","154","159","167","141","141","133","133","191","195","203","203","231","243"
"64","D-01882","NoB0224",2024,"NorthBank",43.3319971,-123.2194938,"f","11","7","154","170","159","159","141","149","131","133","191","195","203","203","227","243"
"65","D-01883","NoB0225",2024,"NorthBank",43.3320933,-123.21945,"f","63","7","154","170","159","159","141","149","131","133","191","191","203","203","227","243"
"66","D-01884","NoB0226",2024,"NorthBank",43.33249,-123.2191933,"f","13","7","154","170","163","175","141","149","125","125","191","195","191","203","231","231"
"67","D-01885","NoB0227",2024,"NorthBank",43.3324867,-123.2192367,"f","8","7","154","154","159","167","141","141","133","133","191","195","203","203","231","243"
"68","D-01886","NoB0228",2024,"NorthBank",43.3325317,-123.2192217,"f","8","7","154","154","159","167","141","141","133","133","191","195","203","203","231","243"
"69","D-01887","NoB0229",2024,"NorthBank",43.3325117,-123.2191895,"f","8","7","154","154","159","167","141","141","133","133","191","195","203","203","231","243"
"70","D-01888","NoB0230",2024,"NorthBank",43.3325083,-123.2192033,"f","11","7","154","170","159","159","141","149","131","133","191","195","203","203","227","243"
"71","D-01890","NoB0232",2024,"NorthBank",43.3326817,-123.219095,"f","8","6",NA,NA,"159","167","141","141","133","133","191","195","203","203","231","243"
"72","D-01891","NoB0233",2024,"NorthBank",43.3327133,-123.219155,"f","11","7","154","170","159","159","141","149","131","133","191","195","203","203","227","243"
"73","D-01892","NoB0234",2024,"NorthBank",43.33291,-123.2188933,"f","11","6",NA,NA,"159","159","141","149","131","133","191","195","203","203","227","243"
"74","D-01893","NoB0235",2024,"NorthBank",43.3333217,-123.2180417,"m","12","7","154","170","175","179","141","149","137","137","195","199","207","207","227","243"
"75","D-01894","NoB0236",2024,"NorthBank",43.3334404,-123.2171639,"m","12","6","154","170","175","179","141","149","137","137","195","199",NA,NA,"227","243"
"76","D-01895","NoB0237",2024,"NorthBank",43.3334033,-123.2161809,"m","14","7","154","170","163","179","141","149","133","133","195","195","203","203","223","233"
"77","D-01896","NoB0238",2024,"NorthBank",43.333415,-123.216175,"f","64","6","154","154","179","179","141","141","133","137","183","191",NA,NA,"223","243"
"78","D-01897","NoB0239",2024,"NorthBank",43.3334163,-123.2158088,"m","14","7","154","170","163","179","141","149","133","133","195","195","203","203","223","233"
"79","D-01898","NoB0240",2024,"NorthBank",43.3334783,-123.2154633,"m","14","7","154","170","163","179","141","149","133","133","195","195","203","203","223","233"
"80","D-01899","NoB0241",2024,"NorthBank",43.3334883,-123.215485,"m","65","5","154","170","175","179","141","149","137","137","195","199",NA,NA,NA,NA
"81","D-01902","NoB0244",2024,"NorthBank",43.3426267,-123.2267033,"m","15","7","146","170","175","183","141","149","113","131","183","195","191","199","231","243"
"82","D-01904","NoB0246",2024,"NorthBank",43.3426367,-123.2269,"m","68","7","154","170","175","175","149","149","133","133","183","195","203","203","219","227"
"83","D-01905","NoB0247",2024,"NorthBank",43.342645,-123.2267683,"f","69","5","170","170","159","179","141","149","125","133","195","199",NA,NA,NA,NA
"84","D-01906","NoB0248",2024,"NorthBank",43.3427033,-123.226835,"f","16","7","154","154","175","175","141","149","133","133","195","195","191","203","227","243"
"85","D-01907","NoB0249",2024,"NorthBank",43.3428017,-123.2269167,"m","17","7","170","170","175","179","141","149","131","133","183","191","203","203","231","243"
"86","D-01908","NoB0250",2024,"NorthBank",43.342849,-123.2269356,"m","17","7","170","170","175","179","141","149","131","133","183","191","203","203","231","243"
"87","D-01909","NoB0251",2024,"NorthBank",43.3435112,-123.2267485,"f","70","7","170","170","159","179","141","149","133","133","183","191","203","203","243","243"
"88","D-02151","NoB0254",2024,"NorthBank",43.3310917,-123.2295183,"f","71","5","142","146",NA,NA,NA,NA,"133","133","183","195","191","191","219","223"
"89","D-01912","NoB0255",2024,"NorthBank",43.3434917,-123.2270917,"f","18","7","146","170","179","179","141","141","131","137","195","199","199","203","231","243"
"90","D-01913","NoB0256",2024,"NorthBank",43.3435065,-123.2272034,"f","18","7","146","170","179","179","141","141","131","137","195","199","199","203","231","243"
"91","D-01914","NoB0257",2024,"NorthBank",43.343672,-123.2274572,"f","16","7","154","154","175","175","141","149","133","133","195","195","191","203","227","243"
"92","D-01916","NoB0259",2024,"NorthBank",43.34358,-123.227585,"m","17","7","170","170","175","179","141","149","131","133","183","191","203","203","231","243"
"93","D-01917","NoB0260",2024,"NorthBank",43.3436133,-123.22767,"m","19","7","170","170","171","179","149","149","113","125","183","191","203","203","235","243"
"94","D-01919","NoB0262",2024,"NorthBank",43.34388,-123.2278083,"m","73","5","170","170","175","175","149","149","133","137","183","195",NA,NA,NA,NA
"95","D-01920","NoB0263",2024,"NorthBank",43.3440525,-123.2278595,"m","74","7","170","170","167","179","141","149","133","137","191","195","203","203","219","227"
"96","D-01921","NoB0264",2024,"NorthBank",43.3441082,-123.2278242,"f","75","5","154","170","159","179","149","149","133","137","199","199",NA,NA,NA,NA
"97","D-01922","NoB0265",2024,"NorthBank",43.3463183,-123.2254567,"m","20","7","146","170","159","175","149","149","113","133","195","195","203","207","243","243"
"98","D-01923","NoB0266",2024,"NorthBank",43.3465559,-123.2254645,"f","21","7","154","170","159","179","141","149","133","133","195","195","203","203","223","223"
"99","D-01924","NoB0267",2024,"NorthBank",43.34651,-123.22534,"m","20","7","146","170","159","175","149","149","113","133","195","195","203","207","243","243"
"100","D-01927","NoB0270",2024,"NorthBank",43.3466532,-123.2257032,"m","19","7","170","170","171","179","149","149","113","125","183","191","203","203","235","243"
"101","D-02152","NoB0271",2024,"NorthBank",43.3347483,-123.2347733,"f","76","6","170","170","167","179","141","141","113","133","183","195","191","191",NA,NA
"102","D-01928","NoB0272",2024,"NorthBank",43.3465267,-123.22563,"f","77","7","146","170","179","179","149","149","113","125","183","195","191","191","231","235"
"103","D-01929","NoB0273",2024,"NorthBank",43.3467033,-123.2256817,"f","22","7","142","170","175","179","141","141","113","125","183","199","203","207","223","243"
"104","D-01930","NoB0274",2024,"NorthBank",43.3467033,-123.2256817,"m","20","7","146","170","159","175","149","149","113","133","195","195","203","207","243","243"
"105","D-01931","NoB0275",2024,"NorthBank",43.3466849,-123.2256161,"f","22","6","142","170","175","179","141","141","113","125","183","199","203","207",NA,NA
"106","D-01932","NoB0276",2024,"NorthBank",43.3466365,-123.2256546,"m","78","7","154","170","159","179","149","149","133","137","191","199","203","203","219","231"
"107","D-01933","NoB0277",2024,"NorthBank",43.3467924,-123.2258568,"m","79","7","170","170","167","179","141","149","133","137","191","195","203","203","219","227"
"108","D-02153","NoB0278",2024,"NorthBank",43.333985,-123.2360733,"f","23","7","142","170","171","179","141","149","113","137","191","195","191","191","227","243"
"109","D-01934","NoB0279",2024,"NorthBank",43.3472067,-123.2262483,"m","80","7","154","170","159","159","141","149","133","137","191","195","203","207","223","223"
"110","D-02154","NoB0281",2024,"NorthBank",43.33418,-123.2374983,"f","23","7","142","170","171","179","141","149","113","137","191","195","191","191","227","243"
"111","D-02155","NoB0282",2024,"NorthBank",43.334255,-123.237465,"f","23","7","142","170","171","179","141","149","113","137","191","195","191","191","227","243"
"112","D-01936","NoB0283",2024,"NorthBank",43.3477983,-123.2261317,"m","81","6","170","170","175","175","149","149","113","133","183","195","203","203",NA,NA
"113","D-02156","NoB0284",2024,"NorthBank",43.3342717,-123.2380089,"f","24","7","142","170","179","179","141","141","113","133","195","195","191","191","243","243"
"114","D-01937","NoB0286",2024,"NorthBank",43.3477683,-123.2254,"f","25","6","154","170","159","179","141","149","125","125","183","195","203","203",NA,NA
"115","D-01938","NoB0288",2024,"NorthBank",43.34771,-123.2253867,"f","26","7","142","170","175","179","141","141","131","133","183","195","203","203","227","227"
"116","D-02159","NoB0289",2024,"NorthBank",43.3337567,-123.238285,"m","27","7","146","170","159","179","141","141","133","137","195","199","203","203","239","243"
"117","D-02160","NoB0290",2024,"NorthBank",43.3338517,-123.2383333,"f","23","7","142","170","171","179","141","149","113","137","191","195","191","191","227","243"
"118","D-01939","NoB0291",2024,"NorthBank",43.3477331,-123.2253187,"f","21","7","154","170","159","179","141","149","133","133","195","195","203","203","223","223"
"119","D-02161","NoB0292",2024,"NorthBank",43.333815,-123.2383733,"f","23","6","142","170","171","179","141","149","113","137","191","195","191","191",NA,NA
"120","D-02162","NoB0293",2024,"NorthBank",43.3337717,-123.2383417,"f","82","5","142","170","179","179","141","141","113","133","195","195",NA,NA,NA,NA
"121","D-02164","NoB0295",2024,"NorthBank",43.33367,-123.238415,"f","23","7","142","170","171","179","141","149","113","137","191","195","191","191","227","243"
"122","D-01940","NoB0296",2024,"NorthBank",43.34795,-123.2246683,"f","25","6","154","170","159","179","141","149","125","125","183","195","203","203",NA,NA
"123","D-02165","NoB0297",2024,"NorthBank",43.33403,-123.2394383,"f","24","6",NA,NA,"179","179","141","141","113","133","195","195","191","191","243","243"
"124","D-01941","NoB0298",2024,"NorthBank",43.3485783,-123.224,"m","19","6",NA,NA,"171","179","149","149","113","125","183","191","203","203","235","243"
"125","D-01942","NoB0299",2024,"NorthBank",43.3485817,-123.22395,"f","83","6","170","170","175","179","141","149","133","133","195","199",NA,NA,"231","231"
"126","D-02166","NoB0300",2024,"NorthBank",43.3340483,-123.2393933,"f","84","5","142","170","179","179","141","141",NA,NA,"195","195","191","191",NA,NA
"127","D-02167","NoB0301",2024,"NorthBank",43.3339733,-123.2398117,"f","85","6",NA,NA,"179","179","141","141","133","133","183","195","191","203","227","243"
"128","D-02169","NoB0303",2024,"NorthBank",43.33349,-123.24115,"m","86","5","170","170","179","179","149","149","133","133","183","195",NA,NA,NA,NA
"129","D-02170","NoB0304",2024,"NorthBank",43.3334767,-123.24134,"m","28","6",NA,NA,"179","179","149","149","133","137","183","195","207","207","219","243"
"130","D-02171","NoB0305",2024,"NorthBank",43.3335783,-123.24161,"m","28","6",NA,NA,"179","179","149","149","133","137","183","195","207","207","219","243"
"131","D-02172","NoB0306",2024,"NorthBank",43.3331911,-123.2421193,"m","27","6",NA,NA,"159","179","141","141","133","137","195","199","203","203","239","243"
"132","D-01943","NoB0307",2024,"NorthBank",43.3485333,-123.2239267,"m","19","6",NA,NA,"171","179","149","149","113","125","183","191","203","203","235","243"
"133","D-01944","NoB0308",2024,"NorthBank",43.3485017,-123.2239467,"f","25","6",NA,NA,"159","179","141","149","125","125","183","195","203","203","227","243"
"134","D-01945","NoB0309",2024,"NorthBank",43.3485106,-123.2239819,"f","87","6",NA,NA,"163","175","141","149","133","133","191","199","203","203","227","231"
"135","D-02173","NoB0310",2024,"NorthBank",43.3326983,-123.2422217,"f","29","6",NA,NA,"159","171","141","149","113","133","191","195","203","207","227","243"
"136","D-01946","NoB0311",2024,"NorthBank",43.3462628,-123.2231265,"f","26","6",NA,NA,"175","179","141","141","131","133","183","195","203","203","227","227"
"137","D-01947","NoB0312",2024,"NorthBank",43.3463278,-123.2230716,"m","19","6",NA,NA,"171","179","149","149","113","125","183","191","203","203","235","243"
"138","D-01948","NoB0314",2024,"NorthBank",43.3463367,-123.223122,"f","25","6","154","170","159","179","141","149","125","125","183","195","203","203",NA,NA
"139","D-01949","NoB0316",2024,"NorthBank",43.3448572,-123.2249378,"m","15","6",NA,NA,"175","183","141","149","113","131","183","195","191","199","231","243"
"140","D-01950","NoB0317",2024,"NorthBank",43.3425433,-123.2261233,"f","88","6",NA,NA,"167","179","141","141","131","133","195","195","191","203","231","239"
"141","D-02176","NoB0319",2024,"NorthBank",43.329735,-123.2370916,"m","89","7","142","154","159","175","149","149","125","125","191","191","191","191","223","243"
"142","D-01952","NoB0320",2024,"NorthBank",43.3425572,-123.2259647,"f","90","7","146","170","179","179","141","141","137","137","195","199","199","203","231","243"
