"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1201","16.G7.C7.22.09","SaD4009",2022,"Santiam",44.5857880010802,-122.127504999991,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"235","235"
"1202","16.G7.C7.22.10","SaD4010",2022,"Santiam",44.5830740010803,-122.127884999991,NA,NA,"1",NA,NA,"159","159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203","16.G7.C7.22.11","SaD4011",2022,"Santiam",44.5830200010802,-122.127928999991,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204","16.G7.C7.22.12","SaD4012",2022,"Santiam",44.5825280010802,-122.128505999991,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205","16.G7.C7.22.13","SaD4013",2022,"Santiam",44.5820660010802,-122.128924999991,"f","40","7","154","170","175","179","149","149","133","133","191","191","183","203","227","243"
"1206","16.G7.C7.22.14","SaD4014",2022,"Santiam",44.5817180010802,-122.128799999991,"m","70","7","154","154","163","175","141","141","113","137","191","195","207","223","227","235"
"1207","16.G7.C7.22.15","SaD4015",2022,"Santiam",44.5802620010802,-122.126618999991,"f","40","7","154","170","175","179","149","149","133","133","191","191","183","203","227","243"
"1208","16.G7.C7.22.16","SaD4016",2022,"Santiam",44.5801830010802,-122.126514999991,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209","16.G7.C7.22.17","SaD4017",2022,"Santiam",44.5796780010802,-122.126789999991,"f","40","5","154","170","175","179","149","149","133","133","191","191",NA,NA,NA,NA
"1210","16.G7.C7.22.18","SaD4018",2022,"Santiam",44.5795020010802,-122.128723999991,"f","237","6","142","170","159","179","141","149","133","137","191","199","183","191",NA,NA
"1211","16.G7.C7.22.19","SaD4019",2022,"Santiam",44.5795610010802,-122.128744999991,"m","70","7","154","154","163","175","141","141","113","137","191","195","207","223","227","235"
"1212","16.G7.C7.22.20","SaD4020",2022,"Santiam",44.5796070010802,-122.128720999991,"m","70","7","154","154","163","175","141","141","113","137","191","195","207","223","227","235"
"1213","16.G7.C7.22.21","SaD4021",2022,"Santiam",44.5797620010802,-122.128718999991,"m","238","7","146","154","159","183","149","149","133","137","195","199","191","191","231","243"
