"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","16.G40.C1.01","SaD1800",2021,"Santiam",44.5978500010805,-122.563993999995,"f","1","7","142","142","159","183","141","149","133","133","191","191","203","207","231","231"
"2","16.G40.C1.02","SaD1801",2021,"Santiam",44.5981280010805,-122.564062999995,"f","1","7","142","142","159","183","141","149","133","133","191","191","203","207","231","231"
"3","16.G40.C1.03","SaD1802",2021,"Santiam",44.5982490010804,-122.564096999995,"f","2","7","170","170","159","171","141","149","133","133","191","195","203","207","219","219"
"4","16.G40.C1.04","SaD1803",2021,"Santiam",44.5983110010805,-122.565209999995,"f","90","6","154","154","159","179","137","137",NA,NA,"191","195","183","207","231","235"
"5","16.G40.C1.05","SaD1804",2021,"Santiam",44.5988230010804,-122.565792999995,"f","3","7","170","170","159","183","141","149","113","137","191","195","183","183","231","231"
"6","16.G40.C1.06","SaD1805",2021,"Santiam",44.6016520010805,-122.567729999995,"f","4","7","154","170","159","159","141","149","133","133","191","195","207","207","231","231"
"7","16.G40.C1.07","SaD1806",2021,"Santiam",44.6016880010805,-122.567798999996,"f","4","5","154","170","159","159","141","149","133","133","191","195",NA,NA,NA,NA
"8","16.G40.C1.08","SaD1807",2021,"Santiam",44.6028460010805,-122.568930999996,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","16.G40.C1.09","SaD1808",2021,"Santiam",44.6029180010805,-122.569187999996,NA,NA,"3","154","170","159","159","141","141",NA,NA,NA,NA,NA,NA,NA,NA
"10","16.G40.C1.10","SaD1809",2021,"Santiam",44.6031020010805,-122.569931999995,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","16.G40.C1.11","SaD1810",2021,"Santiam",44.6032260010805,-122.570672999996,NA,NA,"3",NA,NA,"159","159",NA,NA,"133","133","191","195",NA,NA,NA,NA
"12","16.G40.C1.12","SaD1811",2021,"Santiam",44.6034580010805,-122.570682999996,"f","91","7","154","170","159","159","141","141","113","133","191","195","207","207","231","231"
"13","16.G40.C1.13","SaD1812",2021,"Santiam",44.6039400010805,-122.571572999996,"f","92","6","170","170","179","179","141","149","133","137","191","191","203","203",NA,NA
"14","16.G40.C1.14","SaD1813",2021,"Santiam",44.6039950010806,-122.571893999996,"f","93","5","170","170","159","159","149","149",NA,NA,"195","195","207","207",NA,NA
"15","16.G40.C1.15","SaD1814",2021,"Santiam",44.6039190010805,-122.572361999996,"f","5","7","170","170","171","179","141","149","133","133","191","199","203","215","227","231"
"16","16.G40.C1.16","SaD1815",2021,"Santiam",44.6037140010805,-122.573217999996,"f","5","7","170","170","171","179","141","149","133","133","191","199","203","215","227","231"
"17","16.G40.C1.17","SaD1816",2021,"Santiam",44.6016580010805,-122.574630999996,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","16.G40.C1.18","SaD1817",2021,"Santiam",44.6016440010805,-122.574638999996,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","16.G40.C1.19","SaD1818",2021,"Santiam",44.6015940010805,-122.574639999996,"f","94","5","170","170","179","179","141","141","133","133","191","191",NA,NA,NA,NA
"20","16.G40.C1.20","SaD1819",2021,"Santiam",44.6015380010805,-122.574160999996,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","16.G40.C1.21","SaD1820",2021,"Santiam",44.6014940010805,-122.573798999996,NA,NA,"1",NA,NA,"175","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","16.G40.C1.22","SaD1821",2021,"Santiam",44.6012060010805,-122.572540999996,"f","4","7","154","170","159","159","141","149","133","133","191","195","207","207","231","231"
"23","16.G40.C1.23","SaD1822",2021,"Santiam",44.6011530010804,-122.572303999996,"f","95","7","146","170","159","179","149","149","133","137","195","195","183","223","227","227"
"24","16.G40.C1.24","SaD1823",2021,"Santiam",44.6007330010805,-122.572110999996,"f","96","5","154","154","159","175","141","149",NA,NA,"195","199",NA,NA,"231","231"
"25","16.G40.C1.25","SaD1824",2021,"Santiam",44.6002970010805,-122.572906999996,"f","4","5","154","170","159","159","141","149","133","133","191","195",NA,NA,NA,NA
"26","16.G40.C1.26","SaD1825",2021,"Santiam",44.6002990010804,-122.573023999996,NA,NA,"2",NA,NA,NA,NA,"149","149",NA,NA,"195","195",NA,NA,NA,NA
"27","16.G40.C1.27","SaD1826",2021,"Santiam",44.5998570010805,-122.573717999996,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","16.G40.C1.28","SaD1827",2021,"Santiam",44.5988690010805,-122.574400999996,"f","97","6","154","170","175","179","149","149",NA,NA,"183","195","203","203","231","243"
"29","16.G40.C1.29","SaD1828",2021,"Santiam",44.5983490010804,-122.574572999996,NA,NA,"1",NA,NA,NA,NA,"149","149",NA,NA,NA,NA,NA,NA,NA,NA
"30","16.G40.C1.30","SaD1829",2021,"Santiam",44.5967230010805,-122.573863999996,"f","98","6","146","154","159","179","141","149","137","137",NA,NA,"183","183","227","227"
"31","16.G40.C1.31","SaD1830",2021,"Santiam",44.5975020010804,-122.569065999996,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","16.G40.C1.32","SaD1831",2021,"Santiam",44.5974830010804,-122.568898999995,"f","6","5","170","170","167","183","141","141",NA,NA,"191","195","207","219",NA,NA
"33","16.G40.C1.33","SaD1832",2021,"Santiam",44.5972750010805,-122.569111999995,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","16.G40.C1.34","SaD1833",2021,"Santiam",44.5967130010805,-122.568445999995,NA,NA,"2",NA,NA,NA,NA,"149","149","133","133",NA,NA,NA,NA,NA,NA
"35","16.G40.C1.35","SaD1834",2021,"Santiam",44.5966940010804,-122.568335999995,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16.G40.C1.36","SaD1835",2021,"Santiam",44.5965650010805,-122.567821999995,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"191","191",NA,NA,NA,NA
"37","16.G40.C1.37","SaD1836",2021,"Santiam",44.5963810010804,-122.566098999995,"f","99","5","154","154","159","179","141","149",NA,NA,"191","195","183","207",NA,NA
