"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"1","10.G22.C1.01","SMD3500",2021,"SaddleMountain",46.0051840010929,-123.491055000006,"f","1","6","154","170","179","179","141","149","133","133",NA,NA,"203","203","231","231"
"2","10.G22.C1.02","SMD3501",2021,"SaddleMountain",46.0049780010929,-123.491072000005,"m","3","7","154","154","179","179","141","141","133","133","199","199","203","219","227","231"
"3","10.G22.C1.03","SMD3502",2021,"SaddleMountain",46.0048400010929,-123.490965000006,"m","3","7","154","154","179","179","141","141","133","133","199","199","203","219","227","231"
"4","10.G22.C1.04","SMD3503",2021,"SaddleMountain",46.0047300010929,-123.491091000005,"m","3","7","154","154","179","179","141","141","133","133","199","199","203","219","227","231"
"5","10.G22.C1.05","SMD3504",2021,"SaddleMountain",46.0045330010929,-123.490975000006,"f","4","7","170","170","159","183","149","149","133","137","199","199","191","203","227","231"
"6","10.G22.C1.06","SMD3505",2021,"SaddleMountain",46.0044940010929,-123.491016000006,"f","5","7","154","170","179","179","141","141","133","133","195","199","203","203","231","231"
"7","10.G22.C1.07","SMD3506",2021,"SaddleMountain",46.0045000010929,-123.491119000005,"f","5","7","154","170","179","179","141","141","133","133","195","199","203","203","231","231"
"8","10.G22.C1.08","SMD3507",2021,"SaddleMountain",46.0045160010929,-123.491109000005,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","10.G22.C1.09","SMD3508",2021,"SaddleMountain",46.0044640010929,-123.491351000005,"f",NA,"2","170","170",NA,NA,"141","141",NA,NA,NA,NA,NA,NA,NA,NA
"10","10.G22.C1.10","SMD3509",2021,"SaddleMountain",46.0044890010929,-123.491297000006,"m","308","7","170","170","159","191","141","141","133","137","183","183","203","203","227","231"
"11","10.G22.C1.11","SMD3510",2021,"SaddleMountain",46.0044450010929,-123.491412000005,"f",NA,"3","154","170",NA,NA,"141","141","133","133",NA,NA,NA,NA,NA,NA
"12","10.G22.C1.12","SMD3511",2021,"SaddleMountain",46.0043540010929,-123.491519000005,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","10.G22.C1.13","SMD3512",2021,"SaddleMountain",46.0043590010928,-123.491533000006,"m",NA,"4","154","154",NA,NA,"141","141","133","133","199","199",NA,NA,NA,NA
