"","ODFW_ID","OSU_ID","Year","WMU","Latitude","Longitude","Sex","DAN","Nloci","C273.1","C273.2","C89.1","C89.2","OdhE.1","OdhE.2","SBTD05.1","SBTD05.2","SBTD06.1","SBTD06.2","T159s.1","T159s.2","T7.1","T7.2"
"42","D01280","NoB109",2023,"NorthBank","43.343322399999998","-123.22774990000001","m","8","5","146","170","159","179","141","149","125","133","199","199",NA,NA,NA,NA
"43","D01283","NoB112",2023,"NorthBank","43.342602100000001","-123.2270414","m","34","6","154","170","159","179","141","149","137","141","191","199","203","203",NA,NA
"44","D01286","NoB115",2023,"NorthBank","43.329765000000002","-123.2262205","f","35","7","146","170","167","179","141","141","125","125","195","195","191","203","235","243"
"45","D01288","NoB117",2023,"NorthBank","43.329303899999999","-123.2265577","m","10","6","170","170","167","167","149","149","113","137","183","191","191","203",NA,NA
"46","D01289","NoB118",2023,"NorthBank","43.329303899999999","-123.2265577","m","10","6","170","170","167","167","149","149","113","137","183","191","191","203",NA,NA
"47","D01290","NoB119",2023,"NorthBank","43.3292772","-123.2265316","m","10","6","170","170","167","167","149","149","113","137","183","191",NA,NA,"231","243"
"48","D01292","NoB121",2023,"NorthBank","43.3292231","-123.22648169999999","f","36","7","170","170","175","175","141","149","133","137","191","195","203","207","223","235"
"49","D01293","NoB122",2023,"NorthBank","43.3292109","-123.226491","m","10","6","170","170","167","167","149","149","113","137","183","191","191","203",NA,NA
"50","D01294","NoB123",2023,"NorthBank","43.329199699999997","-123.2265009","f","37","7","170","170","179","179","141","141","133","133","195","195","191","191","227","233"
"51","D01295","NoB124",2023,"NorthBank","43.329172499999999","-123.2265033","f","11","6","170","170","175","179","141","149","113","133","191","195","191","207",NA,NA
"52","D01296","NoB125",2023,"NorthBank","43.329078000000003","-123.2264788","f","38","7","170","170","171","179","141","149","125","125","195","195","203","207","231","235"
"53","D01298","NoB127",2023,"NorthBank","43.3289331","-123.22651689999999","f","12","7","170","170","167","179","141","149","113","137","191","195","203","207","227","231"
"54","D01299","NoB128",2023,"NorthBank","43.328874300000003","-123.2263719","f","11","6","170","170","175","179","141","149","113","133","191","195","191","207",NA,NA
"55","D01301","NoB130",2023,"NorthBank","43.328635400000003","-123.2261594","f","39","6","142","170","167","171","149","149","125","125","191","195",NA,NA,"227","243"
"56","D01302","NoB131",2023,"NorthBank","43.328661199999999","-123.226135","f","12","7","170","170","167","179","141","149","113","137","191","195","203","207","227","231"
